StopAbbr,Lines
213469,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
213468,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
213467,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
213466,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
213465,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
213441,154 Fairburn Heights (Outbound)
213440,154 Fairburn Heights (Inbound)
213438,84a Washington CW loop (Outbound)
213432,154 Fairburn Heights (Outbound)
213427,26b Perry / Hamilton E Holmes / Jackson (Outbound)
213426,26b Perry / Hamilton E Holmes / Jackson (Outbound)
213425,26b Perry / Hamilton E Holmes / Jackson (Inbound)
213424,26b Perry / Hamilton E Holmes / Jackson (Inbound)
213423,26b Perry / Hamilton E Holmes / Jackson (Outbound)
213420,1 Joseph Lowery / 17th (Outbound)
213418,1 Joseph Lowery / 17th (Outbound)
213417,1 Joseph Lowery / 17th (Inbound)
213414,66 Lynhurst / Cascade Springs (Inbound)
213411,"26a Perry / Hamilton E Holmes / Bolton (Inbound), 26b Perry / Hamilton E Holmes / Jackson (Inbound)"
213410,"26a Perry / Hamilton E Holmes / Bolton (Inbound), 26b Perry / Hamilton E Holmes / Jackson (Inbound)"
213409,"26a Perry / Hamilton E Holmes / Bolton (Outbound), 26b Perry / Hamilton E Holmes / Jackson (Outbound)"
213408,1 Joseph Lowery / 17th (Outbound)
213407,11 Defoor / Emery (Outbound)
213406,42 Pryor (Inbound)
213400,154 Fairburn Heights (Inbound)
213399,154 Fairburn Heights (Outbound)
213398,"2L Ponce de Leon / Hollowell (Inbound), 2 Ponce de Leon (Inbound)"
213393,1 Joseph Lowery / 17th (Inbound)
213392,1 Joseph Lowery / 17th (Outbound)
213388,1 Joseph Lowery / 17th (Outbound)
213521,182 Fulton Hwy / Union City (Outbound)
213439,84a Washington CW loop (Inbound)
213380,195 Forest Parkway (Outbound)
213381,182 Fulton Hwy / Union City (Inbound&Outbound)
213512,"115 Covington Hwy (Inbound), 116 Redan (Inbound), 20L Rainbow / Fairington (Inbound)"
213379,165 Fairburn (Inbound)
213377,115 Covington Hwy (Inbound)
213376,115 Covington Hwy (Outbound)
213374,89a Old National Highway / Flat Shoals (Inbound)
213372,115 Covington Hwy (Inbound)
213518,1 Joseph Lowery / 17th (Outbound)
213367,115 Covington Hwy (Inbound)
213364,32 Bouldercrest (Inbound)
213362,122 Lawrenceville Hwy (Outbound)
213361,81 Venetian Hills / Connally (Inbound)
213354,115 Covington Hwy (Inbound)
213353,115 Covington Hwy (Outbound)
213352,115 Covington Hwy (Outbound)
213351,115 Covington Hwy (Inbound)
213350,7 Monroe / Abernathy (Outbound)
213331,115 Covington Hwy (Outbound)
213373,89a Old National Highway / Flat Shoals (Outbound)
213485,89a Old National Highway / Flat Shoals (Inbound)
213484,89a Old National Highway / Flat Shoals (Outbound)
