StopAbbr,BusStopType,LineAbbr,IsTP,IsEOL,Helper-0,Helper-1,Helper-2,Helper-3,Helper-4,Helper-5,Helper-6,Helper-7,Helper-8,Helper-9,Helper-10,Helper-11,EOL-0,EOL-1,EOL-2,EOL-3,EOL-4,EOL-5,EOL-6,EOL-7,EOL-8,EOL-9,EOL-10,EOL-11,EOL-12,CountEOL
101024,SGN,813,FALSE,FALSE,101024-813-Westbound-15,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
101026,SGN,813,FALSE,FALSE,101026-813-Westbound-16,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
101030,SGN,813,FALSE,FALSE,101030-813-Westbound-10,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
101036,SGN,813,FALSE,FALSE,101036-813-Eastbound-28,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
101040,SGN,813,FALSE,FALSE,101040-813-Eastbound-27,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
101042,SGN,813,TRUE,FALSE,101042-813-Eastbound-26,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
101044,SCD,813,FALSE,FALSE,101044-813-Eastbound-25,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
101046,SGN,813,FALSE,FALSE,101046-813-Eastbound-24,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
101069,STR,3,FALSE,FALSE,101069-3-Eastbound-25,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
101092,SGN,40,FALSE,FALSE,101092-40-Southbound-32,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101096,SGN,40,FALSE,FALSE,101096-40-Northbound-13,,,,,,,,,,,,Arts Center Stn,,,,,,,,,,,,,1
101098,SGN,40,FALSE,FALSE,101098-40-Southbound-33,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101100,SGN,40,FALSE,FALSE,101100-40-Northbound-12,,,,,,,,,,,,Arts Center Stn,,,,,,,,,,,,,1
101104,SGN,40,FALSE,FALSE,101104-40-Southbound-34,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101108,BEN,40,FALSE,FALSE,101108-40-Southbound-35,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101110,SGN,40,FALSE,FALSE,101110-40-Northbound-11,,,,,,,,,,,,Arts Center Stn,,,,,,,,,,,,,1
101124,SGN,813,FALSE,FALSE,101124-813-Eastbound-33,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
101126,SGN,813,FALSE,FALSE,101126-813-Eastbound-34,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
101133,SNT,3;68,FALSE,FALSE,101133-3-Westbound-19,101133-68-Westbound-5,,,,,,,,,,,HE Holmes Stn,HE Holmes Stn,,,,,,,,,,,,2
101135,SGN,813;94,FALSE,FALSE,101135-94-Southbound-19,101135-813-Eastbound-30,,,,,,,,,,,West End Stn,Georgia State Stn,,,,,,,,,,,,2
101137,SNT,94,FALSE,FALSE,101137-94-Southbound-20,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101139,SGN,3,FALSE,FALSE,101139-3-Eastbound-26,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
101144,SCD,3,FALSE,FALSE,101144-3-Eastbound-29,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
101156,SAT,94,FALSE,FALSE,101156-94-Southbound-16,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101162,SGN,94,FALSE,FALSE,101162-94-Southbound-17,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101165,SGN,94,FALSE,FALSE,101165-94-Southbound-18,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
101166,STR,94,FALSE,FALSE,101166-94-Northbound-8,,,,,,,,,,,,Arts Center Stn,,,,,,,,,,,,,1
101168,SGN,3,FALSE,FALSE,101168-3-Eastbound-27,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
101446,SGN,3,FALSE,FALSE,101446-3-Eastbound-28,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
101448,SGN,3,FALSE,FALSE,101448-3-Westbound-17,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
101460,SNT,40,FALSE,FALSE,101460-40-Northbound-10,,,,,,,,,,,,Arts Center Stn,,,,,,,,,,,,,1
101464,SGN,3,FALSE,FALSE,101464-3-Westbound-18,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
101466,SGN,3,FALSE,FALSE,101466-3-Westbound-20,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
101468,SGN,68,FALSE,FALSE,101468-68-Eastbound-67,,,,,,,,,,,,Ashby Stn,,,,,,,,,,,,,1
102005,STR,21,FALSE,FALSE,102005-21-Eastbound-6,,,,,,,,,,,,Kensington Stn,,,,,,,,,,,,,1
102006,SGN,21,FALSE,FALSE,102006-21-Eastbound-7,,,,,,,,,,,,Kensington Stn,,,,,,,,,,,,,1
102007,SGN,21,FALSE,FALSE,102007-21-Eastbound-8,,,,,,,,,,,,Kensington Stn,,,,,,,,,,,,,1
102009,SGN,107;21;9,FALSE,FALSE,102009-107-Eastbound-3,102009-9-Westbound-57,102009-21-Eastbound-9,,,,,,,,,,King Memorial Stn,Kensington Stn,Indian Creek Stn,,,,,,,,,,,3
102011,SGN,186;9,FALSE,FALSE,102011-186-Eastbound-13,102011-9-Eastbound-3,,,,,,,,,,,Rainbow Village,Snapfinger Wds Dr,,,,,,,,,,,,2
102022,STR,40,FALSE,FALSE,102022-40-Northbound-16,,,,,,,,,,,,Arts Center Stn,,,,,,,,,,,,,1
102026,STR,42,FALSE,FALSE,102026-42-Southbound-6,,,,,,,,,,,,Lakewood Stn,,,,,,,,,,,,,1
102028,STR,42,FALSE,FALSE,102028-42-Southbound-5,,,,,,,,,,,,Lakewood Stn,,,,,,,,,,,,,1
102030,STR,42,FALSE,FALSE,102030-42-Southbound-4,,,,,,,,,,,,Lakewood Stn,,,,,,,,,,,,,1
102032,STR,186,FALSE,FALSE,102032-186-Westbound-36,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102042,STR,186,FALSE,FALSE,102042-186-Westbound-35,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102044,STR,186,FALSE,FALSE,102044-186-Westbound-34,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102046,STR,186,FALSE,FALSE,102046-186-Westbound-33,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102052,SGN,42,FALSE,FALSE,102052-42-Southbound-8,,,,,,,,,,,,Lakewood Stn,,,,,,,,,,,,,1
102053,SGN,42,FALSE,FALSE,102053-42-Southbound-9,,,,,,,,,,,,Lakewood Stn,,,,,,,,,,,,,1
102054,SNT,42,FALSE,FALSE,102054-42-Northbound-54,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102056,SGN,42,FALSE,FALSE,102056-42-Northbound-56,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102062,STR,21;42;55,FALSE,FALSE,102062-21-Westbound-62,102062-55-Northbound-73,102062-42-Northbound-58,,,,,,,,,,Five Points Stn,Five Points Stn,Five Points Stn,,,,,,,,,,,3
102074,SGN,3;49;813,FALSE,FALSE,102074-813-Westbound-7,102074-3-Westbound-13,102074-49-Southbound-4,,,,,,,,,,HE Holmes Stn,Metro Transitional,West Lake Stn,,,,,,,,,,,3
102078,STR,49;813,FALSE,FALSE,102078-813-Eastbound-35,102078-49-Northbound-55,,,,,,,,,,,Five Points Stn,Georgia State Stn,,,,,,,,,,,,2
102110,SGN,49,FALSE,FALSE,102110-49-Southbound-6,,,,,,,,,,,,Metro Transitional,,,,,,,,,,,,,1
102112,SGN,49,FALSE,FALSE,102112-49-Southbound-7,,,,,,,,,,,,Metro Transitional,,,,,,,,,,,,,1
102124,STR,3,FALSE,FALSE,102124-3-Eastbound-40,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
102148,STR,21;42;55,FALSE,FALSE,102148-55-Southbound-3,102148-21-Eastbound-3,102148-42-Southbound-3,,,,,,,,,,Kensington Stn,Lakewood Stn,Forest Park,,,,,,,,,,,3
102152,STR,21;55;813,FALSE,FALSE,102152-21-Westbound-61,102152-55-Northbound-72,102152-813-Westbound-2,,,,,,,,,,Five Points Stn,Five Points Stn,West Lake Stn,,,,,,,,,,,3
102170,STR,186;813,FALSE,FALSE,102170-813-Eastbound-43,102170-186-Eastbound-7,,,,,,,,,,,Snapfinger Wds Dr,Georgia State Stn,,,,,,,,,,,,2
102172,SGN,186,FALSE,FALSE,102172-186-Westbound-31,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102173,SNT,186,FALSE,FALSE,102173-186-Eastbound-8,,,,,,,,,,,,Snapfinger Wds Dr,,,,,,,,,,,,,1
102174,SGN,186,FALSE,FALSE,102174-186-Westbound-32,,,,,,,,,,,,Five Points Stn,,,,,,,,,,,,,1
102178,STR,3,FALSE,FALSE,102178-3-Westbound-8,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
102180,STR,3;816,FALSE,FALSE,102180-3-Westbound-9,102180-816-Southbound-58,,,,,,,,,,,HE Holmes Stn,Five Points Stn,,,,,,,,,,,,2
